annotation_category,count
phenotypic-variation,13805
mutagenesis,3840
variant,2339
electrophysiological-parameter,1630
go-biological-process,431
binary-interaction,259
protein-property,109
mammalian-phenotype,96
go-cellular-component,67
go-molecular-function,46
