annotation_category,cnt
phenotypic-variation,15083
go-biological-process,5410
mutagenesis,4297
variant,1885
binary-interaction,361
electrophysiological-parameter,142
go-molecular-function,122
go-cellular-component,89
mammalian-phenotype,78
protein-property,43
