annotation_category,count
phenotypic-variation,24940
binary-interaction,12224
go-biological-process,10753
modified-residue,7292
variant,5547
mutagenesis,5395
glycosylation-site,2690
electrophysiological-parameter,1630
ptm-info,1404
go-molecular-function,648
go-cellular-component,496
protein-property,259
mammalian-phenotype,243
