annotation_category,cnt
phenotypic-variation,12303
mutagenesis,3737
variant,1308
electrophysiological-parameter,142
binary-interaction,137
go-biological-process,133
mammalian-phenotype,47
go-cellular-component,35
go-molecular-function,17
protein-property,14
